,County,State,FIPS,State FIPS Code,County FIPS Code,Total Population,Median Household Income,Urban-Rural
0,Autauga County,Alabama,1001,1,1,59285,69841,Urban
1,Baldwin County,Alabama,1003,1,3,239945,75019,Urban
2,Barbour County,Alabama,1005,1,5,24757,44290,Rural
3,Bibb County,Alabama,1007,1,7,22152,51215,Rural
4,Blount County,Alabama,1009,1,9,59292,61096,Urban
5,Bullock County,Alabama,1011,1,11,10157,36723,Rural
6,Butler County,Alabama,1013,1,13,18807,44881,Rural
7,Calhoun County,Alabama,1015,1,15,116141,55826,Urban
8,Chambers County,Alabama,1017,1,17,34450,49295,Urban
9,Cherokee County,Alabama,1019,1,19,25224,50769,Rural
10,Chilton County,Alabama,1021,1,21,45500,61873,Urban
11,Choctaw County,Alabama,1023,1,23,12525,44483,Rural
12,Clarke County,Alabama,1025,1,25,22802,49167,Rural
13,Clay County,Alabama,1027,1,27,14188,51852,Rural
14,Cleburne County,Alabama,1029,1,29,15254,53319,Rural
15,Coffee County,Alabama,1031,1,31,54231,64672,Urban
16,Colbert County,Alabama,1033,1,33,57648,56736,Urban
17,Conecuh County,Alabama,1035,1,35,11411,42266,Rural
18,Coosa County,Alabama,1037,1,37,10323,57063,Rural
19,Covington County,Alabama,1039,1,39,37647,50886,Urban
20,Crenshaw County,Alabama,1041,1,41,13144,49040,Rural
21,Cullman County,Alabama,1043,1,43,89463,60916,Urban
22,Dale County,Alabama,1045,1,45,49516,53955,Urban
23,Dallas County,Alabama,1047,1,47,37536,36810,Urban
24,DeKalb County,Alabama,1049,1,49,71946,51149,Urban
25,Elmore County,Alabama,1051,1,51,88669,75553,Urban
26,Escambia County,Alabama,1053,1,53,36695,44447,Urban
27,Etowah County,Alabama,1055,1,55,103208,53070,Urban
28,Fayette County,Alabama,1057,1,57,16173,50733,Rural
29,Franklin County,Alabama,1059,1,59,31978,51493,Urban
30,Geneva County,Alabama,1061,1,61,26726,50951,Urban
31,Greene County,Alabama,1063,1,63,7589,31495,Rural
32,Hale County,Alabama,1065,1,65,14749,41325,Rural
33,Henry County,Alabama,1067,1,67,17450,60135,Rural
34,Houston County,Alabama,1069,1,69,107628,57531,Urban
35,Jackson County,Alabama,1071,1,71,52839,49454,Urban
36,Jefferson County,Alabama,1073,1,73,669744,64589,Urban
37,Lamar County,Alabama,1075,1,75,13809,47447,Rural
38,Lauderdale County,Alabama,1077,1,77,95037,59082,Urban
39,Lawrence County,Alabama,1079,1,79,33182,60040,Urban
40,Lee County,Alabama,1081,1,81,177663,61123,Urban
41,Limestone County,Alabama,1083,1,83,107577,83534,Urban
42,Lowndes County,Alabama,1085,1,85,10008,35160,Rural
43,Macon County,Alabama,1087,1,87,18951,45951,Rural
44,Madison County,Alabama,1089,1,89,397135,83528,Urban
45,Marengo County,Alabama,1091,1,91,19027,44205,Rural
46,Marion County,Alabama,1093,1,93,29190,50714,Urban
47,Marshall County,Alabama,1095,1,95,98712,60946,Urban
48,Mobile County,Alabama,1097,1,97,413162,58119,Urban
49,Monroe County,Alabama,1099,1,99,19580,40225,Rural
50,Montgomery County,Alabama,1101,1,101,227197,58153,Urban
51,Morgan County,Alabama,1103,1,103,123742,64858,Urban
52,Perry County,Alabama,1105,1,105,8231,34368,Rural
53,Pickens County,Alabama,1107,1,107,18843,47014,Rural
54,Pike County,Alabama,1109,1,109,32953,47961,Urban
55,Randolph County,Alabama,1111,1,111,22310,51551,Rural
56,Russell County,Alabama,1113,1,113,58858,50046,Urban
57,St. Clair County,Alabama,1115,1,115,92903,78993,Urban
58,Shelby County,Alabama,1117,1,117,226955,93543,Urban
59,Sumter County,Alabama,1119,1,119,12020,37981,Rural
60,Talladega County,Alabama,1121,1,121,81170,56249,Urban
61,Tallapoosa County,Alabama,1123,1,123,41070,57185,Urban
62,Tuscaloosa County,Alabama,1125,1,125,234036,63947,Urban
63,Walker County,Alabama,1127,1,127,64886,54509,Urban
64,Washington County,Alabama,1129,1,129,15270,60503,Rural
65,Wilcox County,Alabama,1131,1,131,10347,42236,Rural
66,Winston County,Alabama,1133,1,133,23637,48032,Rural
67,Aleutians East Borough,Alaska,2013,2,13,3423,72692,Rural
68,Aleutians West Census Area,Alaska,2016,2,16,5178,107344,Rural
69,Anchorage Municipality,Alaska,2020,2,20,289069,98152,Urban
70,Bethel Census Area,Alaska,2050,2,50,18487,70616,Rural
71,Bristol Bay Borough,Alaska,2060,2,60,878,100625,Rural
72,Chugach Census Area,Alaska,2063,2,63,6964,88565,Rural
73,Copper River Census Area,Alaska,2066,2,66,2626,75053,Rural
74,Denali Borough,Alaska,2068,2,68,2029,88935,Rural
75,Dillingham Census Area,Alaska,2070,2,70,4780,74250,Rural
76,Fairbanks North Star Borough,Alaska,2090,2,90,95555,84722,Urban
77,Haines Borough,Alaska,2100,2,100,2077,72607,Rural
78,Hoonah-Angoon Census Area,Alaska,2105,2,105,2313,62500,Rural
79,Juneau City and Borough,Alaska,2110,2,110,31969,100513,Urban
80,Kenai Peninsula Borough,Alaska,2122,2,122,59843,77722,Urban
81,Ketchikan Gateway Borough,Alaska,2130,2,130,13870,89155,Rural
82,Kodiak Island Borough,Alaska,2150,2,150,12878,83716,Rural
83,Kusilvak Census Area,Alaska,2158,2,158,8277,48233,Rural
84,Lake and Peninsula Borough,Alaska,2164,2,164,1007,64000,Rural
85,Matanuska-Susitna Borough,Alaska,2170,2,170,110677,90625,Urban
86,Nome Census Area,Alaska,2180,2,180,9925,76643,Rural
87,North Slope Borough,Alaska,2185,2,185,10891,86313,Rural
88,Northwest Arctic Borough,Alaska,2188,2,188,7611,81298,Rural
89,Petersburg Borough,Alaska,2195,2,195,3394,77026,Rural
90,Prince of Wales-Hyder Census Area,Alaska,2198,2,198,5730,59079,Rural
91,Sitka City and Borough,Alaska,2220,2,220,8393,101207,Rural
92,Skagway Municipality,Alaska,2230,2,230,1308,78594,Rural
93,Southeast Fairbanks Census Area,Alaska,2240,2,240,6936,74223,Rural
94,Wrangell City and Borough,Alaska,2275,2,275,2106,64545,Rural
95,Yakutat City and Borough,Alaska,2282,2,282,506,80625,Rural
96,Yukon-Koyukuk Census Area,Alaska,2290,2,290,5271,52642,Rural
97,Apache County,Arizona,4001,4,1,65680,40338,Urban
98,Cochise County,Arizona,4003,4,3,125458,58970,Urban
99,Coconino County,Arizona,4005,4,5,144643,69748,Urban
100,Gila County,Arizona,4007,4,7,53610,59089,Urban
101,Graham County,Arizona,4009,4,9,38860,67326,Urban
102,Greenlee County,Arizona,4011,4,11,9452,75239,Rural
103,La Paz County,Arizona,4012,4,12,16605,49506,Rural
104,Maricopa County,Arizona,4013,4,13,4491987,85518,Urban
105,Mohave County,Arizona,4015,4,15,217420,55799,Urban
106,Navajo County,Arizona,4017,4,17,107744,52752,Urban
